game_id,date,home_team,away_team,home_win,home_fg_pct,away_fg_pct,home_fg3_pct,away_fg3_pct,home_ft_pct,away_ft_pct,home_ast,away_ast,home_reb,away_reb,home_stl,away_stl,home_blk,away_blk,home_to,away_to,home_pts,away_pts,fg_pct_diff,fg3_pct_diff,ft_pct_diff,ast_diff,reb_diff,stl_diff,blk_diff,to_diff,pts_diff
22300001,,CLE,IND,0,0.5238095238095238,0.5232558139534884,0.2857142857142857,0.4838709677419355,0.8,0.6666666666666666,27.0,28.0,35.0,40.0,10.0,7.0,9.0,5.0,13.0,18.0,116.0,121.0,0.0005537098560354226,-0.1981566820276498,0.13333333333333341,-1.0,-5.0,3.0,4.0,-5.0,-5.0
22300002,,MIL,NYK,1,0.4268292682926829,0.3958333333333333,0.5128205128205128,0.2564102564102564,0.7142857142857143,0.76,24.0,18.0,41.0,56.0,6.0,6.0,11.0,1.0,14.0,10.0,110.0,105.0,0.030995934959349603,0.2564102564102564,-0.04571428571428571,6.0,-15.0,0.0,10.0,4.0,5.0
22300003,,MIA,WAS,1,0.6,0.5679012345679012,0.48148148148148145,0.4642857142857143,0.8571428571428571,0.5294117647058824,35.0,33.0,37.0,30.0,9.0,7.0,1.0,4.0,19.0,20.0,121.0,114.0,0.032098765432098775,0.017195767195767153,0.32773109243697474,2.0,7.0,2.0,-3.0,-1.0,7.0
22300004,,CHI,BKN,0,0.48314606741573035,0.4583333333333333,0.39285714285714285,0.4,0.7142857142857143,0.6,21.0,32.0,42.0,39.0,4.0,4.0,4.0,4.0,10.0,8.0,107.0,109.0,0.024812734082397037,-0.007142857142857173,0.11428571428571432,-11.0,3.0,0.0,0.0,2.0,-2.0
22300005,,GSW,OKC,1,0.532608695652174,0.6024096385542169,0.45,0.5172413793103449,0.8333333333333334,0.8,36.0,26.0,38.0,32.0,9.0,3.0,2.0,1.0,15.0,19.0,141.0,139.0,-0.06980094290204297,-0.06724137931034485,0.033333333333333326,10.0,6.0,6.0,1.0,-4.0,2.0
22300006,,DAL,DEN,0,0.47674418604651164,0.5268817204301075,0.40476190476190477,0.43333333333333335,0.8823529411764706,0.7368421052631579,27.0,33.0,34.0,51.0,12.0,11.0,6.0,6.0,15.0,17.0,114.0,125.0,-0.05013753438359586,-0.02857142857142858,0.1455108359133127,-6.0,-17.0,1.0,0.0,-2.0,-11.0
22300007,,POR,MEM,1,0.40625,0.4895833333333333,0.28125,0.2857142857142857,0.7777777777777778,0.6923076923076923,19.0,29.0,50.0,48.0,12.0,8.0,7.0,10.0,14.0,17.0,115.0,113.0,-0.08333333333333331,-0.004464285714285698,0.0854700854700855,-10.0,2.0,4.0,-3.0,-3.0,2.0
22300008,,PHI,DET,1,0.42168674698795183,0.46511627906976744,0.32142857142857145,0.2857142857142857,0.8536585365853658,0.8181818181818182,23.0,28.0,46.0,48.0,13.0,3.0,5.0,5.0,8.0,16.0,114.0,106.0,-0.0434295320818156,0.035714285714285754,0.0354767184035476,-5.0,-2.0,10.0,0.0,-8.0,8.0
22300009,,WAS,CHA,0,0.48863636363636365,0.45454545454545453,0.3684210526315789,0.21428571428571427,0.85,0.6428571428571429,28.0,31.0,36.0,67.0,4.0,10.0,6.0,4.0,15.0,9.0,117.0,124.0,0.034090909090909116,0.15413533834586465,0.20714285714285707,-3.0,-31.0,-6.0,2.0,6.0,-7.0
22300010,,BOS,BKN,1,0.43617021276595747,0.4470588235294118,0.36538461538461536,0.40540540540540543,0.7142857142857143,0.8888888888888888,29.0,26.0,52.0,46.0,5.0,0.0,3.0,3.0,7.0,10.0,121.0,107.0,-0.01088861076345432,-0.040020790020790065,-0.17460317460317454,3.0,6.0,5.0,0.0,-3.0,14.0
22300011,,NOP,HOU,0,0.4533333333333333,0.4090909090909091,0.32,0.2857142857142857,0.7352941176470589,0.7857142857142857,12.0,20.0,49.0,42.0,6.0,9.0,6.0,5.0,18.0,9.0,101.0,104.0,0.044242424242424194,0.03428571428571431,-0.05042016806722682,-8.0,7.0,-3.0,1.0,9.0,-3.0
22300012,,UTA,MEM,1,0.5394736842105263,0.45544554455445546,0.4864864864864865,0.3958333333333333,0.9310344827586207,0.7692307692307693,28.0,23.0,38.0,37.0,10.0,5.0,12.0,5.0,19.0,11.0,127.0,121.0,0.08402813965607087,0.0906531531531532,0.1618037135278514,5.0,1.0,5.0,7.0,8.0,6.0
22300013,,MIN,SAS,1,0.4942528735632184,0.4673913043478261,0.37037037037037035,0.35294117647058826,0.7777777777777778,0.631578947368421,23.0,29.0,51.0,38.0,6.0,9.0,4.0,8.0,18.0,14.0,117.0,110.0,0.02686156921539229,0.01742919389978209,0.14619883040935677,-6.0,13.0,-3.0,-4.0,4.0,7.0
22300014,,DAL,LAC,1,0.5204081632653061,0.48863636363636365,0.4523809523809524,0.2962962962962963,0.8846153846153846,0.8888888888888888,30.0,21.0,41.0,47.0,7.0,7.0,1.0,2.0,8.0,14.0,144.0,126.0,0.0317717996289425,0.1560846560846561,-0.004273504273504258,9.0,-6.0,0.0,-1.0,-6.0,18.0
22300015,,LAL,PHX,1,0.5,0.44680851063829785,0.4444444444444444,0.40540540540540543,0.7647058823529411,0.7407407407407407,27.0,22.0,43.0,52.0,9.0,9.0,7.0,1.0,11.0,13.0,122.0,119.0,0.05319148936170215,0.03903903903903899,0.023965141612200425,5.0,-9.0,0.0,6.0,-2.0,3.0
